source_ip,destination_ip,source_port,destination_port,protocol,packet_size,inter_arrival_time,payload_size,flow_duration,total_packets,total_bytes,flow_direction,session_duration,session_count,mean_packet_size,variance_packet_size,entropy,access_patterns,usage_frequency,temporal_patterns,country,region,city,application_data,behavioral_pattern,network_context
192.168.1.239,34.117.59.81,56556,443,TCP,66,0.18280601501464844,52,14.265742063522339,8,1317,outbound,14.265742063522339,8,164.625,28552.234375,2.0,192.168.1.239->34.117.59.81:443,0.560784007195538,2024-08-21 18:04:56,US,Missouri,Kansas City,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,104,1.3347539901733398,90,22.26349425315857,21,9943,outbound,22.26349425315857,21,473.4761904761905,113852.91609977323,2.963745994207332,192.168.1.239->144.195.31.55:8801,0.9432481604733132,2024-08-21 18:04:56,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,508,0.21525001525878906,494,22.47874426841736,22,10451,outbound,22.47874426841736,22,475.04545454545456,108729.49793388428,3.095795255000933,192.168.1.239->144.195.31.55:8801,0.9787023570934078,2024-08-21 18:04:57,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,57388,8801,UDP,525,2.836043119430542,511,22.899088144302368,18,12585,outbound,22.899088144302368,18,699.1666666666666,79364.69444444445,3.377443751081734,192.168.1.239->144.195.31.55:8801,0.7860575009175056,2024-08-21 18:04:57,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,57388,8801,UDP,525,0.2104320526123047,511,23.109520196914673,19,13110,outbound,23.109520196914673,19,690.0,76700.1052631579,3.391892644680932,192.168.1.239->144.195.31.55:8801,0.8221719809888857,2024-08-21 18:04:57,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,57388,8801,UDP,524,0.26154279708862305,510,23.371062994003296,20,13634,outbound,23.371062994003296,20,681.7,74174.01000000001,3.5086949695628413,192.168.1.239->144.195.31.55:8801,0.8557591071117191,2024-08-21 18:04:57,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,57388,8801,UDP,524,0.21425890922546387,510,23.58532190322876,21,14158,outbound,23.58532190322876,21,674.1904761904761,71769.77324263037,3.52257158913636,192.168.1.239->144.195.31.55:8801,0.8903842858776145,2024-08-21 18:04:58,US,California,San Jose,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,443,56495,TCP,66,5.309728145599365,52,22.306768894195557,4,413,outbound,22.306768894195557,4,103.25,1397.6875,1.5,144.195.31.55->192.168.1.239:56495,0.17931776757864917,2024-08-21 18:04:58,Unknown,Unknown,Unknown,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,49484,UDP,140,5.927778959274292,126,22.720085859298706,5,715,outbound,22.720085859298706,5,143.0,11.2,1.9219280948873623,144.195.31.55->192.168.1.239:49484,0.22006959088817166,2024-08-21 18:04:58,Unknown,Unknown,Unknown,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,51487,UDP,69,2.9239118099212646,55,23.837878942489624,9,628,outbound,23.837878942489624,9,69.77777777777777,4.839506172839506,0.5032583347756457,144.195.31.55->192.168.1.239:51487,0.377550369381146,2024-08-21 18:04:58,Unknown,Unknown,Unknown,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,57388,8801,UDP,164,0.8736870288848877,150,24.459008932113647,22,14322,outbound,24.459008932113647,22,651.0,79801.27272727272,3.6292196865240967,192.168.1.239->144.195.31.55:8801,0.8994640813559264,2024-08-21 18:04:58,US,California,San Jose,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,443,56495,TCP,66,0.9255778789520264,52,23.232346773147583,5,479,outbound,23.232346773147583,5,95.8,1340.16,1.3709505944546687,144.195.31.55->192.168.1.239:56495,0.2152171732293141,2024-08-21 18:04:59,Unknown,Unknown,Unknown,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,372,2.2632460594177246,358,24.741990327835083,23,10823,outbound,24.741990327835083,23,470.5652173913044,104443.72400756145,3.219214129970057,192.168.1.239->144.195.31.55:8801,0.929593767326175,2024-08-21 18:04:59,US,California,San Jose,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,443,56495,TCP,109,0.4048151969909668,95,23.63716197013855,6,588,outbound,23.63716197013855,6,98.0,1141.0,1.7924812503605778,144.195.31.55->192.168.1.239:56495,0.25383758031442005,2024-08-21 18:04:59,Unknown,Unknown,Unknown,Unknown,Normal,Normal
34.117.59.81,192.168.1.239,443,56556,TCP,66,3.5148117542266846,52,14.541815996170044,8,5179,outbound,14.541815996170044,8,647.375,382561.234375,2.4056390622295662,34.117.59.81->192.168.1.239:56556,0.5501376170697665,2024-08-21 18:04:59,Unknown,Unknown,Unknown,Unknown,Normal,Normal
192.168.1.239,34.117.59.81,56556,443,TCP,66,3.3374478816986084,52,17.603189945220947,9,1383,outbound,17.603189945220947,9,153.66666666666666,26340.444444444445,1.8799649487271108,192.168.1.239->34.117.59.81:443,0.5112709700916106,2024-08-21 18:05:00,US,Missouri,Kansas City,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,56495,443,TCP,66,6.464766025543213,52,24.09482192993164,6,738,outbound,24.09482192993164,6,123.0,8290.0,1.4591479170272448,192.168.1.239->144.195.31.55:443,0.24901615863558377,2024-08-21 18:05:00,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,104,1.073744773864746,90,25.81573510169983,24,10927,outbound,25.81573510169983,24,455.2916666666667,105457.37326388888,3.1462406251802895,192.168.1.239->144.195.31.55:8801,0.9296655665799626,2024-08-21 18:05:00,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,104,0.21225309371948242,90,26.02798819541931,25,11031,outbound,26.02798819541931,25,441.24,105977.8624,3.075084951819779,192.168.1.239->144.195.31.55:8801,0.9605045081586356,2024-08-21 18:05:00,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,49484,8801,UDP,106,6.230427026748657,92,26.96322011947632,20,3315,outbound,26.96322011947632,20,165.75,1855.1875,3.6464393446710153,192.168.1.239->144.195.31.55:8801,0.7417511673820226,2024-08-21 18:05:00,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,49484,8801,UDP,200,0.23155593872070312,186,27.19477605819702,21,3515,outbound,27.19477605819702,21,167.38095238095238,1820.045351473923,3.748994803525096,192.168.1.239->144.195.31.55:8801,0.7722071310703146,2024-08-21 18:05:01,US,California,San Jose,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,51487,UDP,69,2.6786439418792725,55,26.516522884368896,10,697,outbound,26.516522884368896,10,69.7,4.409999999999999,0.4689955935892812,144.195.31.55->192.168.1.239:51487,0.37712335224370064,2024-08-21 18:05:01,Unknown,Unknown,Unknown,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,57388,8801,UDP,1208,2.6793441772460938,1194,27.13835310935974,23,15530,outbound,27.13835310935974,23,675.2173913043479,89234.25708884688,3.729446194905257,192.168.1.239->144.195.31.55:8801,0.8475090550748098,2024-08-21 18:05:01,US,California,San Jose,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,57388,UDP,517,5.754684925079346,503,24.547302722930908,16,9285,outbound,24.547302722930908,16,580.3125,64440.33984375,3.327819531114783,144.195.31.55->192.168.1.239:57388,0.6518027736323784,2024-08-21 18:05:01,Unknown,Unknown,Unknown,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,57388,UDP,517,0.2502729892730713,503,24.79757571220398,17,9802,outbound,24.79757571220398,17,576.5882352941177,60871.65397923876,3.337175341123077,144.195.31.55->192.168.1.239:57388,0.6855508859938091,2024-08-21 18:05:02,Unknown,Unknown,Unknown,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,57388,UDP,517,0.20998716354370117,503,25.00756287574768,18,10319,outbound,25.00756287574768,18,573.2777777777778,57676.200617283954,3.3082708345352603,144.195.31.55->192.168.1.239:57388,0.719782255049587,2024-08-21 18:05:02,Unknown,Unknown,Unknown,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,57388,UDP,517,0.2053089141845703,503,25.21287178993225,19,10836,outbound,25.21287178993225,19,570.3157894736842,54798.53185595569,3.260828171224455,144.195.31.55->192.168.1.239:57388,0.753583334667449,2024-08-21 18:05:02,Unknown,Unknown,Unknown,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,57388,UDP,517,0.21091413497924805,503,25.4237859249115,20,11353,outbound,25.4237859249115,20,567.65,52193.627499999995,3.2037016960573483,144.195.31.55->192.168.1.239:57388,0.7866648995184858,2024-08-21 18:05:02,Unknown,Unknown,Unknown,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,372,2.197782039642334,358,28.225770235061646,26,11403,outbound,28.225770235061646,26,438.5769230769231,102079.09023668639,3.115082758569029,192.168.1.239->144.195.31.55:8801,0.9211440390633937,2024-08-21 18:05:02,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,34.117.59.81,56557,443,TCP,78,0.0,64,0.0,1,78,outbound,0.0,1,78.0,0.0,-0.0,192.168.1.239->34.117.59.81:443,0,2024-08-21 18:05:03,US,Missouri,Kansas City,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,57388,8801,UDP,1052,1.6927599906921387,1038,28.83111310005188,24,16582,outbound,28.83111310005188,24,690.9166666666666,91184.9097222222,3.8239348962840563,192.168.1.239->144.195.31.55:8801,0.8324340415409356,2024-08-21 18:05:03,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,49484,8801,UDP,262,2.3033039569854736,248,29.498080015182495,22,3777,outbound,29.498080015182495,22,171.6818181818182,2125.762396694215,3.845350936622435,192.168.1.239->144.195.31.55:8801,0.7458112524163174,2024-08-21 18:05:03,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,49484,8801,UDP,320,0.2809000015258789,306,29.778980016708374,23,4097,outbound,29.778980016708374,23,178.1304347826087,2948.2003780718337,3.936180434129755,192.168.1.239->144.195.31.55:8801,0.7723568768001849,2024-08-21 18:05:03,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,372,1.0859200954437256,358,29.31169033050537,27,11775,outbound,29.31169033050537,27,436.1111111111111,98456.46913580246,3.1262145965695023,192.168.1.239->144.195.31.55:8801,0.921134185560785,2024-08-21 18:05:03,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,49484,8801,UDP,316,0.4106471538543701,302,30.189627170562744,24,4413,outbound,30.189627170562744,24,183.875,3584.359375,4.0220552088742005,192.168.1.239->144.195.31.55:8801,0.7949750377640266,2024-08-21 18:05:04,US,California,San Jose,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,49484,UDP,148,5.899224042892456,134,28.619309902191162,6,863,outbound,28.619309902191162,6,143.83333333333334,12.805555555555555,2.2516291673878226,144.195.31.55->192.168.1.239:49484,0.20964866100914004,2024-08-21 18:05:04,Unknown,Unknown,Unknown,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,51487,UDP,69,3.2100794315338135,55,29.72660231590271,11,766,outbound,29.72660231590271,11,69.63636363636364,4.0495867768595035,0.4394969869215134,144.195.31.55->192.168.1.239:51487,0.370038926181462,2024-08-21 18:05:04,Unknown,Unknown,Unknown,Unknown,Normal,Normal
